YDH,Load
1303702,804.572
1303703,733.518
1303704,688.623
1303705,654.645
1303706,637.843
1303707,625.093
1303708,623.758
1303709,640.065
1303710,686.708
1303711,782.026
1303712,835.761
1303713,829.217
1303714,829.587
1303715,823.51
1303716,823.901
1303717,813.936
1303718,804.742
1303719,790.842
1303720,791.884
1303721,813.187
1303722,867.586
1303723,892.905
1303800,871.259
1303801,844.034
1303802,816.424
1303803,751.821
1303804,703.32
1303805,674.609
1303806,658.971
1303807,652.633
1303808,656.107
1303809,672.211
1303810,721.507
1303811,832.423
1303812,869.674
1303813,858.624
1303814,843.245
1303815,834.157
1303816,829.902
1303817,817.146
1303818,808.648
1303819,805.039
1303820,808.318
1303821,822.965
1303822,871.797
1303823,883.042
1303900,863.455
1303901,835.105
1303902,806.534
1303903,738.56
1303904,686.338
1303905,653.144
1303906,632.435
1303907,620.963
1303908,618.379
1303909,631.216
1303910,681.835
1303911,770.111
1303912,815.419
1303913,834.868
1303914,850.94
1303915,857.84
1303916,864.204
1303917,853.832
1303918,842.881
1303919,827.72
1303920,820.696
1303921,822.834
1303922,868.595
1303923,868.038
1304000,831.574
1304001,793.053
1304002,763.642
1304003,693.957
1304004,642.945
1304005,607.132
1304006,590.36
1304007,578.046
1304008,579.461
1304009,586.937
1304010,605.575
1304011,658.121
1304012,703.516
1304013,747.564
1304014,778.328
1304015,786.497
1304016,788.617
1304017,780.617
1304018,762.316
1304019,748.673
1304020,751.318
1304021,769.225
1304022,836.24
1304023,848.815
1304100,817.808
1304101,789.146
1304102,770.428
1304103,710.772
1304104,666.047
1304105,634.093
1304106,616.255
1304107,610.163
1304108,610.377
1304109,615.33
1304110,634.437
1304111,669.237
1304112,714.971
1304113,760.407
1304114,777.577
1304115,770.907
1304116,761.318
1304117,742.77
1304118,721.815
1304119,708.127
1304120,712.59
1304121,732.655
1304122,803.527
1304123,826.52
1304200,804.254
1304201,771.637
1304202,741.61
1304203,680.495
1304204,637.527
1304205,607.893
1304206,590.845
1304207,584.996
1304208,582.514
1304209,600.477
1304210,652.481
1304211,750.743
1304212,799.308
1304213,805.669
1304214,810.488
1304215,813.675
1304216,819.409
1304217,809.883
1304218,801.266
1304219,785.432
1304220,777.552
1304221,782.032
1304222,821.818
1304223,835.014
1304300,798.434
1304301,762.61
1304302,726.871
1304303,657.172
1304304,603.529
1304305,577.758
1304306,558.036
1304307,547.475
1304308,548.967
1304309,567.449
1304310,617.934
1304311,731.521
1304312,773.946
1304313,771.048
1304314,770.652
1304315,771.521
1304316,774.09
1304317,769.725
1304318,769.17
1304319,763.013
1304320,767.049
1304321,782.216
1304322,824.424
1304323,833.787
1304400,806.72
1304401,776.413
1304402,747.431
1304403,679.662
1304404,628.186
1304405,597.301
1304406,578.385
1304407,566.075
1304408,567.518
1304409,581.761
1304410,638.314
1304411,741.034
1304412,784.312
1304413,779.959
1304414,774.062
1304415,773.556
1304416,770.984
1304417,763.171
1304418,760.71
1304419,752.118
1304420,747.427
1304421,759.664
1304422,809.029
1304423,833.712
1304500,810.048
1304501,782.913
1304502,752.331
1304503,685.945
1304504,630.098
1304505,595.897
1304506,576.202
1304507,565.688
1304508,565.483
1304509,583.675
1304510,640.035
1304511,740.002
1304512,783.717
1304513,777.915
1304514,773.606
1304515,768.493
1304516,764.175
1304517,750.969
1304518,745.284
1304519,728.514
1304520,725.528
1304521,734.795
1304522,783.675
1304523,810.398
1304600,793.535
1304601,764.865
1304602,737.544
1304603,666.256
1304604,613.659
1304605,582.992
1304606,563.772
1304607,552.238
1304608,549.901
1304609,562.955
1304610,617.026
1304611,712.643
1304612,763.029
1304613,759.752
1304614,757.122
1304615,757.335
1304616,753.95
1304617,740.497
1304618,732.09
1304619,723.64
1304620,722.74
1304621,728.098
1304622,775.331
1304623,796.921
1304700,776.792
1304701,752.291
1304702,734.334
1304703,674.575
1304704,624.832
1304705,587.11
1304706,566.055
1304707,555.315
1304708,550.859
1304709,555.612
1304710,576.939
1304711,623.385
1304712,678.07
1304713,728.148
1304714,751.325
1304715,743.799
1304716,737.605
1304717,722.071
1304718,708.613
1304719,702.211
1304720,715.044
1304721,739.578
1304722,811.877
1304723,832.867
1304800,807.199
1304801,780.6
1304802,765.145
1304803,704.429
1304804,658.1
1304805,620.05
1304806,603.03
1304807,593.723
1304808,592.488
1304809,595.617
1304810,610.729
1304811,644.271
1304812,693.531
1304813,752.492
1304814,797.141
1304815,803.902
1304816,800.547
1304817,791.344
1304818,780.427
1304819,772.846
1304820,775.733
1304821,794.407
1304822,861.936
1304823,892.24
1304900,867.221
1304901,836.206
1304902,808.64
1304903,740.514
1304904,692.239
1304905,657.694
1304906,639.961
1304907,631.259
1304908,630.356
1304909,639.595
1304910,681.489
1304911,761.531
1304912,816.081
1304913,830.955
1304914,832.251
1304915,824.649
1304916,814.654
1304917,794.84
1304918,776.81
1304919,762.099
1304920,763.025
1304921,781.602
1304922,839.869
1304923,869.768
1305000,844.254
1305001,813.397
1305002,781.459
1305003,705.959
1305004,658.137
1305005,622.234
1305006,599.989
1305007,592.464
1305008,587.279
1305009,602.218
1305010,655.371
1305011,748.943
1305012,796.171
1305013,797.386
1305014,789.665
1305015,780.789
1305016,780.065
1305017,770.229
1305018,773.008
1305019,759.08
1305020,760.093
1305021,775.39
1305022,818.588
1305023,828.598
1305100,802.524
1305101,766.273
1305102,736.224
1305103,660.774
1305104,609.066
1305105,579.812
1305106,554.801
1305107,548.034
