YDH,PowerDen
1304008,0
1304009,0
1304010,0
1304011,0
1304012,0
1304013,0.034
1304014,0.10523
1304015,0.05009687
1304016,0.07108125
1304017,0.5071844
1304018,0.4808344
1304019,0.4052352
1304020,0.2795438
1304021,0.1187875
1304022,0
1304023,0
1304100,0
1304101,0
1304102,0
1304103,0
1304104,0
1304105,0
1304106,0
1304107,0
1304108,0
1304109,0
1304110,0
1304111,0
1304112,4.07E-05
1304113,0.1401969
1304114,0.2978719
1304115,0.4234062
1304116,0.5017125
1304117,0.5246094
1304118,0.4924687
1304119,0.408946
1304120,0.2815094
1304121,0.1210719
1304122,5.31E-05
1304123,0
1304200,0
1304201,0
1304202,0
1304203,0
1304204,0
1304205,0
1304206,0
1304207,0
1304208,0
1304209,0
1304210,0
1304211,0
1304212,0
1304213,0
1304214,0.007065625
1304215,0.01615
1304216,0.02114375
1304217,0.02114375
1304218,0.04345625
1304219,0.04749375
1304220,0.0036125
1304221,4.72E-13
1304222,0
1304223,0
1304300,0
1304301,0
1304302,0
1304303,0
1304304,0
1304305,0
1304306,0
1304307,0
1304308,0
1304309,0
1304310,0
1304311,0
1304312,0.000784266
1304313,0.06146562
1304314,0.2691844
1304315,0.3955688
1304316,0.4724937
1304317,0.523493
1304318,0.2253859
1304319,0.4408814
1304320,0.323076
1304321,0.1941586
1304322,0.01277297
1304323,0
1304400,0
1304401,0
1304402,0
1304403,0
1304404,0
1304405,0
1304406,0
1304407,0
1304408,0
1304409,0
1304410,0
1304411,0
1304412,0.001703186
1304413,0.131495
1304414,0.3021219
1304415,0.4250531
1304416,0.5043687
1304417,0.5270531
1304418,0.4957094
1304419,0.4127812
1304420,0.28475
1304421,0.1211781
1304422,0.000159375
1304423,0
1304500,0
1304501,0
1304502,0
1304503,0
1304504,0
1304505,0
1304506,0
1304507,0
1304508,0
1304509,0
1304510,0
1304511,0
1304512,0.003024435
1304513,0.1554438
1304514,0.3105687
1304515,0.4329156
1304516,0.4804625
1304517,0.5338532
1304518,0.5040463
1304519,0.4223438
1304520,0.2921344
1304521,0.13345
1304522,0.001221875
1304523,0
1304600,0
1304601,0
1304602,0
1304603,0
1304604,0
1304605,0
1304606,0
1304607,0
1304608,0
1304609,0
1304610,0
1304611,0
1304612,0.004729246
1304613,0.1587375
1304614,0.3138625
1304615,0.43435
1304616,0.5103188
1304617,0.5347031
1304618,0.5039437
1304619,0.4206127
1304620,0.2910187
1304621,0.1336094
1304622,0.0010625
1304623,0
1304700,0
1304701,0
1304702,0
1304703,0
1304704,0
1304705,0
1304706,0
1304707,0
1304708,0
1304709,0
1304710,0
1304711,0
1304712,0
1304713,0.05849062
1304714,0.1532656
1304715,0.3092406
1304716,0.520625
1304717,0.4614969
1304718,0.4945002
1304719,0.4212443
1304720,0.32003
1304721,0.1341406
1304722,0
1304723,0
1304800,0
1304801,0
1304802,0
1304803,0
1304804,0
1304805,0
1304806,0
1304807,0
1304808,0
1304809,0
1304810,0
1304811,0
1304812,0.000690625
1304813,0.05583438
